unet,radial_lines,reconstruction,epochs,folder,psnr,ssim,lpips,metrics,metrics_std,model_path
Unet,20,L2,90.0,result_images/Unet_20lines_L2_L1_90epochs,32.79,0.93,0.247,32.79 / 0.930 / 0.247,32.79(3.45) / 0.930(0.031) / 0.247(0.091),MRIrec_experiments/Unet_20lines_L2/Unet_20lines_L2_epoch90_constantLR_0.001.pth
Unet,20,L1,86.0,result_images/Unet_20lines_L1_86epochs,33.59,0.941,0.225,33.59 / 0.941 / 0.225,33.59(3.35) / 0.941(0.027) / 0.225(0.089),MRIrec_experiments/Unet_20lines_L1/Unet_20lines_L1_epoch86_constantLR_0.001.pth
Unet,20,TV,96.0,result_images/Unet_20lines_TV_96epochs,32.88,0.933,0.248,32.88 / 0.933 / 0.248,32.88(3.35) / 0.933(0.029) / 0.248(0.085),MRIrec_experiments/Unet_20lines_TV/Unet_20lines_TV_epoch96_constantLR_0.001.pth
Unet,20,L2_L1,90.0,result_images/Unet_20lines_L2_L1_90epochs,32.79,0.93,0.247,32.79 / 0.930 / 0.247,32.79(3.45) / 0.930(0.031) / 0.247(0.091),MRIrec_experiments/Unet_20lines_L2_L1/Unet_20lines_L2_L1_epoch90_constantLR_0.001.pth
Unet,20,L2_TV,90.0,result_images/Unet_20lines_L2_TV_90epochs,33.05,0.933,0.251,33.05 / 0.933 / 0.251,33.05(3.47) / 0.933(0.032) / 0.251(0.082),MRIrec_experiments/Unet_20lines_L2_TV/Unet_20lines_L2_TV_epoch90_constantLR_0.001.pth
Unet,20,L1_TV,98.0,result_images/Unet_20lines_L1_TV_98epochs,33.41,0.941,0.239,33.41 / 0.941 / 0.239,33.41(3.46) / 0.941(0.028) / 0.239(0.087),MRIrec_experiments/Unet_20lines_L1_TV/Unet_20lines_L1_TV_epoch98_constantLR_0.001.pth
Unet,20,L2_L1_TV,95.0,result_images/Unet_20lines_L2_L1_TV_95epochs,33.39,0.925,0.24,33.39 / 0.925 / 0.240,33.39(3.36) / 0.925(0.030) / 0.240(0.087),MRIrec_experiments/Unet_20lines_L2_L1_TV/Unet_20lines_L2_L1_TV_epoch95_constantLR_0.001.pth
Unet,40,L2,96.0,result_images/Unet_40lines_L2_TV_96epochs,36.62,0.959,0.183,36.62 / 0.959 / 0.183,36.62(3.16) / 0.959(0.017) / 0.183(0.081),MRIrec_experiments/Unet_40lines_L2/Unet_40lines_L2_epoch96_constantLR_0.001.pth
Unet,40,L1,93.0,result_images/Unet_40lines_L1_93epochs,35.89,0.963,0.197,35.89 / 0.963 / 0.197,35.89(3.35) / 0.963(0.018) / 0.197(0.086),MRIrec_experiments/Unet_40lines_L1/Unet_40lines_L1_epoch93_constantLR_0.001.pth
Unet,40,TV,99.0,result_images/Unet_40lines_TV_99epochs,36.39,0.962,0.188,36.39 / 0.962 / 0.188,36.39(3.24) / 0.962(0.015) / 0.188(0.081),MRIrec_experiments/Unet_40lines_TV/Unet_40lines_TV_epoch99_constantLR_0.001.pth
Unet,40,L2_L1,95.0,result_images/Unet_40lines_L2_L1_95epochs,35.78,0.96,0.196,35.78 / 0.960 / 0.196,35.78(3.34) / 0.960(0.019) / 0.196(0.087),MRIrec_experiments/Unet_40lines_L2_L1/Unet_40lines_L2_L1_epoch95_constantLR_0.001.pth
Unet,40,L2_TV,96.0,result_images/Unet_40lines_L2_TV_96epochs,36.62,0.959,0.183,36.62 / 0.959 / 0.183,36.62(3.16) / 0.959(0.017) / 0.183(0.081),MRIrec_experiments/Unet_40lines_L2_TV/Unet_40lines_L2_TV_epoch96_constantLR_0.001.pth
Unet,40,L1_TV,96.0,result_images/Unet_40lines_L1_TV_96epochs,36.68,0.965,0.183,36.68 / 0.965 / 0.183,36.68(3.41) / 0.965(0.016) / 0.183(0.081),MRIrec_experiments/Unet_40lines_L1_TV/Unet_40lines_L1_TV_epoch96_constantLR_0.001.pth
